time,link,path,number,flag
146,N010 N013,N004 N005 N006 N010 N013 N003,5,enter link
146,N006 N010,N001 N012 N006 N010 N013 N003,5,exit link
146,N010 N013,N001 N012 N006 N010 N013 N003,5,enter link
146,N009 N010,N004 N009 N010 N011 N002,45,exit link
146,N010 N011,N004 N009 N010 N011 N002,45,enter link
146,N009 N010,N004 N009 N010 N013 N003,45,exit link
146,N010 N013,N004 N009 N010 N013 N003,45,enter link
147,N001 N005,N001 N005 N006 N010 N011 N002,1,exit link
147,N005 N006,N001 N005 N006 N010 N011 N002,1,enter link
147,N001 N005,N001 N005 N006 N010 N013 N003,1,exit link
147,N005 N006,N001 N005 N006 N010 N013 N003,1,enter link
147,N001 N005,N001 N005 N009 N010 N011 N002,37,exit link
147,N005 N009,N001 N005 N009 N010 N011 N002,37,enter link
147,N001 N005,N001 N005 N009 N010 N013 N003,35,exit link
147,N005 N009,N001 N005 N009 N010 N013 N003,35,enter link
147,N001 N005,N001 N005 N009 N013 N003,2,exit link
147,N005 N009,N001 N005 N009 N013 N003,2,enter link
147,N004 N005,N004 N005 N009 N010 N011 N002,38,exit link
147,N005 N009,N004 N005 N009 N010 N011 N002,38,enter link
147,N004 N005,N004 N005 N009 N010 N013 N003,37,exit link
147,N005 N009,N004 N005 N009 N010 N013 N003,37,enter link
147,N001 N012,N001 N012 N006 N010 N011 N002,31,exit link
147,N012 N006,N001 N012 N006 N010 N011 N002,31,enter link
147,N001 N012,N001 N012 N006 N010 N013 N003,47,exit link
147,N012 N006,N001 N012 N006 N010 N013 N003,47,enter link
147,N004 N009,N004 N009 N010 N011 N002,60,exit link
147,N009 N010,N004 N009 N010 N011 N002,60,enter link
147,N004 N009,N004 N009 N010 N013 N003,60,exit link
147,N009 N010,N004 N009 N010 N013 N003,60,enter link
147,N005 N009,N001 N005 N009 N010 N011 N002,12,exit link
147,N009 N010,N001 N005 N009 N010 N011 N002,12,enter link
147,N005 N009,N001 N005 N009 N010 N013 N003,12,exit link
147,N009 N010,N001 N005 N009 N010 N013 N003,12,enter link
147,N005 N006,N001 N005 N006 N010 N011 N002,36,exit link
147,N006 N010,N001 N005 N006 N010 N011 N002,36,enter link
147,N005 N006,N001 N005 N006 N010 N013 N003,35,exit link
147,N006 N010,N001 N005 N006 N010 N013 N003,35,enter link
147,N005 N006,N004 N005 N006 N010 N011 N002,2,exit link
147,N006 N010,N004 N005 N006 N010 N011 N002,2,enter link
147,N005 N006,N004 N005 N006 N010 N013 N003,2,exit link
147,N006 N010,N004 N005 N006 N010 N013 N003,2,enter link
147,N012 N006,N001 N012 N006 N010 N011 N002,38,exit link
147,N006 N010,N001 N012 N006 N010 N011 N002,38,enter link
147,N012 N006,N001 N012 N006 N010 N013 N003,38,exit link
147,N006 N010,N001 N012 N006 N010 N013 N003,38,enter link
147,N006 N010,N001 N005 N006 N010 N011 N002,63,exit link
147,N010 N011,N001 N005 N006 N010 N011 N002,63,enter link
147,N006 N010,N004 N005 N006 N010 N011 N002,6,exit link
147,N010 N011,N004 N005 N006 N010 N011 N002,6,enter link
147,N006 N010,N001 N012 N006 N010 N011 N002,6,exit link
147,N010 N011,N001 N012 N006 N010 N011 N002,6,enter link
147,N006 N010,N001 N005 N006 N010 N013 N003,63,exit link
147,N010 N013,N001 N005 N006 N010 N013 N003,63,enter link
147,N006 N010,N004 N005 N006 N010 N013 N003,6,exit link
147,N010 N013,N004 N005 N006 N010 N013 N003,6,enter link
147,N006 N010,N001 N012 N006 N010 N013 N003,6,exit link
147,N010 N013,N001 N012 N006 N010 N013 N003,6,enter link
147,N009 N010,N004 N009 N010 N011 N002,45,exit link
147,N010 N011,N004 N009 N010 N011 N002,45,enter link
147,N009 N010,N004 N009 N010 N013 N003,45,exit link
147,N010 N013,N004 N009 N010 N013 N003,45,enter link
148,N001 N005,N001 N005 N006 N010 N011 N002,0,exit link
148,N005 N006,N001 N005 N006 N010 N011 N002,0,enter link
148,N001 N005,N001 N005 N006 N010 N013 N003,0,exit link
148,N005 N006,N001 N005 N006 N010 N013 N003,0,enter link
148,N001 N005,N001 N005 N009 N010 N011 N002,38,exit link
148,N005 N009,N001 N005 N009 N010 N011 N002,38,enter link
148,N001 N005,N001 N005 N009 N010 N013 N003,35,exit link
148,N005 N009,N001 N005 N009 N010 N013 N003,35,enter link
148,N001 N005,N001 N005 N009 N013 N003,1,exit link
148,N005 N009,N001 N005 N009 N013 N003,1,enter link
148,N004 N005,N004 N005 N009 N010 N011 N002,38,exit link
148,N005 N009,N004 N005 N009 N010 N011 N002,38,enter link
148,N004 N005,N004 N005 N009 N010 N013 N003,36,exit link
148,N005 N009,N004 N005 N009 N010 N013 N003,36,enter link
148,N001 N012,N001 N012 N006 N010 N011 N002,34,exit link
148,N012 N006,N001 N012 N006 N010 N011 N002,34,enter link
148,N001 N012,N001 N012 N006 N010 N013 N003,50,exit link
148,N012 N006,N001 N012 N006 N010 N013 N003,50,enter link
148,N004 N009,N004 N009 N010 N011 N002,61,exit link
148,N009 N010,N004 N009 N010 N011 N002,61,enter link
148,N004 N009,N004 N009 N010 N013 N003,60,exit link
148,N009 N010,N004 N009 N010 N013 N003,60,enter link
148,N005 N009,N001 N005 N009 N010 N011 N002,13,exit link
148,N009 N010,N001 N005 N009 N010 N011 N002,13,enter link
148,N005 N009,N001 N005 N009 N010 N013 N003,14,exit link
148,N009 N010,N001 N005 N009 N010 N013 N003,14,enter link
148,N005 N006,N001 N005 N006 N010 N011 N002,36,exit link
148,N006 N010,N001 N005 N006 N010 N011 N002,36,enter link
148,N005 N006,N001 N005 N006 N010 N013 N003,36,exit link
148,N006 N010,N001 N005 N006 N010 N013 N003,36,enter link
148,N005 N006,N004 N005 N006 N010 N011 N002,2,exit link
148,N006 N010,N004 N005 N006 N010 N011 N002,2,enter link
148,N005 N006,N004 N005 N006 N010 N013 N003,2,exit link
148,N006 N010,N004 N005 N006 N010 N013 N003,2,enter link
148,N012 N006,N001 N012 N006 N010 N011 N002,38,exit link
148,N006 N010,N001 N012 N006 N010 N011 N002,38,enter link
148,N012 N006,N001 N012 N006 N010 N013 N003,37,exit link
148,N006 N010,N001 N012 N006 N010 N013 N003,37,enter link
148,N006 N010,N001 N005 N006 N010 N011 N002,62,exit link
148,N010 N011,N001 N005 N006 N010 N011 N002,62,enter link
148,N006 N010,N004 N005 N006 N010 N011 N002,6,exit link
148,N010 N011,N004 N005 N006 N010 N011 N002,6,enter link
148,N006 N010,N001 N012 N006 N010 N011 N002,7,exit link
148,N010 N011,N001 N012 N006 N010 N011 N002,7,enter link
148,N006 N010,N001 N005 N006 N010 N013 N003,62,exit link
148,N010 N013,N001 N005 N006 N010 N013 N003,62,enter link
148,N006 N010,N004 N005 N006 N010 N013 N003,6,exit link
148,N010 N013,N004 N005 N006 N010 N013 N003,6,enter link
148,N006 N010,N001 N012 N006 N010 N013 N003,7,exit link
148,N010 N013,N001 N012 N006 N010 N013 N003,7,enter link
148,N009 N010,N004 N009 N010 N011 N002,45,exit link
148,N010 N011,N004 N009 N010 N011 N002,45,enter link
148,N009 N010,N004 N009 N010 N013 N003,45,exit link
148,N010 N013,N004 N009 N010 N013 N003,45,enter link
149,N001 N005,N001 N005 N006 N010 N011 N002,1,exit link
149,N005 N006,N001 N005 N006 N010 N011 N002,1,enter link
149,N001 N005,N001 N005 N006 N010 N013 N003,1,exit link
149,N005 N006,N001 N005 N006 N010 N013 N003,1,enter link
149,N001 N005,N001 N005 N009 N010 N011 N002,38,exit link
149,N005 N009,N001 N005 N009 N010 N011 N002,38,enter link
149,N001 N005,N001 N005 N009 N010 N013 N003,35,exit link
149,N005 N009,N001 N005 N009 N010 N013 N003,35,enter link
149,N001 N005,N001 N005 N009 N013 N003,2,exit link
149,N005 N009,N001 N005 N009 N013 N003,2,enter link
149,N004 N005,N004 N005 N009 N010 N011 N002,38,exit link
149,N005 N009,N004 N005 N009 N010 N011 N002,38,enter link
149,N004 N005,N004 N005 N009 N010 N013 N003,37,exit link
149,N005 N009,N004 N005 N009 N010 N013 N003,37,enter link
149,N001 N012,N001 N012 N006 N010 N011 N002,39,exit link
149,N012 N006,N001 N012 N006 N010 N011 N002,39,enter link
149,N001 N012,N001 N012 N006 N010 N013 N003,57,exit link
149,N012 N006,N001 N012 N006 N010 N013 N003,57,enter link
149,N004 N009,N004 N009 N010 N011 N002,59,exit link
149,N009 N010,N004 N009 N010 N011 N002,59,enter link
149,N004 N009,N004 N009 N010 N013 N003,59,exit link
149,N009 N010,N004 N009 N010 N013 N003,59,enter link
149,N005 N009,N001 N005 N009 N010 N011 N002,16,exit link
149,N009 N010,N001 N005 N009 N010 N011 N002,16,enter link
149,N005 N009,N001 N005 N009 N010 N013 N003,16,exit link
149,N009 N010,N001 N005 N009 N010 N013 N003,16,enter link
149,N005 N006,N001 N005 N006 N010 N011 N002,35,exit link
149,N006 N010,N001 N005 N006 N010 N011 N002,35,enter link
149,N005 N006,N001 N005 N006 N010 N013 N003,35,exit link
149,N006 N010,N001 N005 N006 N010 N013 N003,35,enter link
149,N005 N006,N004 N005 N006 N010 N011 N002,2,exit link
149,N006 N010,N004 N005 N006 N010 N011 N002,2,enter link
149,N005 N006,N004 N005 N006 N010 N013 N003,2,exit link
149,N006 N010,N004 N005 N006 N010 N013 N003,2,enter link
149,N012 N006,N001 N012 N006 N010 N011 N002,37,exit link
149,N006 N010,N001 N012 N006 N010 N011 N002,37,enter link
149,N012 N006,N001 N012 N006 N010 N013 N003,37,exit link
149,N006 N010,N001 N012 N006 N010 N013 N003,37,enter link
149,N006 N010,N001 N005 N006 N010 N011 N002,57,exit link
149,N010 N011,N001 N005 N006 N010 N011 N002,57,enter link
149,N006 N010,N004 N005 N006 N010 N011 N002,6,exit link
149,N010 N011,N004 N005 N006 N010 N011 N002,6,enter link
149,N006 N010,N001 N012 N006 N010 N011 N002,7,exit link
149,N010 N011,N001 N012 N006 N010 N011 N002,7,enter link
149,N006 N010,N001 N005 N006 N010 N013 N003,58,exit link
149,N010 N013,N001 N005 N006 N010 N013 N003,58,enter link
149,N006 N010,N004 N005 N006 N010 N013 N003,6,exit link
149,N010 N013,N004 N005 N006 N010 N013 N003,6,enter link
149,N006 N010,N001 N012 N006 N010 N013 N003,7,exit link
149,N010 N013,N001 N012 N006 N010 N013 N003,7,enter link
149,N009 N010,N004 N009 N010 N011 N002,45,exit link
149,N010 N011,N004 N009 N010 N011 N002,45,enter link
149,N009 N010,N004 N009 N010 N013 N003,45,exit link
149,N010 N013,N004 N009 N010 N013 N003,45,enter link
150,N001 N005,N001 N005 N006 N010 N011 N002,0,exit link
150,N005 N006,N001 N005 N006 N010 N011 N002,0,enter link
150,N001 N005,N001 N005 N006 N010 N013 N003,0,exit link
150,N005 N006,N001 N005 N006 N010 N013 N003,0,enter link
150,N001 N005,N001 N005 N009 N010 N011 N002,38,exit link
150,N005 N009,N001 N005 N009 N010 N011 N002,38,enter link
150,N001 N005,N001 N005 N009 N010 N013 N003,35,exit link
150,N005 N009,N001 N005 N009 N010 N013 N003,35,enter link
150,N001 N005,N001 N005 N009 N013 N003,2,exit link
150,N005 N009,N001 N005 N009 N013 N003,2,enter link
150,N004 N005,N004 N005 N009 N010 N011 N002,38,exit link
150,N005 N009,N004 N005 N009 N010 N011 N002,38,enter link
150,N004 N005,N004 N005 N009 N010 N013 N003,36,exit link
150,N005 N009,N004 N005 N009 N010 N013 N003,36,enter link
150,N001 N012,N001 N012 N006 N010 N011 N002,42,exit link
150,N012 N006,N001 N012 N006 N010 N011 N002,42,enter link
150,N001 N012,N001 N012 N006 N010 N013 N003,61,exit link
150,N012 N006,N001 N012 N006 N010 N013 N003,61,enter link
150,N004 N009,N004 N009 N010 N011 N002,58,exit link
150,N009 N010,N004 N009 N010 N011 N002,58,enter link
150,N004 N009,N004 N009 N010 N013 N003,58,exit link
150,N009 N010,N004 N009 N010 N013 N003,58,enter link
150,N005 N009,N001 N005 N009 N010 N011 N002,17,exit link
150,N009 N010,N001 N005 N009 N010 N011 N002,17,enter link
150,N005 N009,N001 N005 N009 N010 N013 N003,18,exit link
150,N009 N010,N001 N005 N009 N010 N013 N003,18,enter link
150,N005 N006,N001 N005 N006 N010 N011 N002,36,exit link
150,N006 N010,N001 N005 N006 N010 N011 N002,36,enter link
150,N005 N006,N001 N005 N006 N010 N013 N003,36,exit link
150,N006 N010,N001 N005 N006 N010 N013 N003,36,enter link
150,N005 N006,N004 N005 N006 N010 N011 N002,1,exit link
150,N006 N010,N004 N005 N006 N010 N011 N002,1,enter link
150,N005 N006,N004 N005 N006 N010 N013 N003,1,exit link
150,N006 N010,N004 N005 N006 N010 N013 N003,1,enter link
150,N012 N006,N001 N012 N006 N010 N011 N002,37,exit link
150,N006 N010,N001 N012 N006 N010 N011 N002,37,enter link
150,N012 N006,N001 N012 N006 N010 N013 N003,37,exit link
150,N006 N010,N001 N012 N006 N010 N013 N003,37,enter link
150,N006 N010,N001 N005 N006 N010 N011 N002,58,exit link
150,N010 N011,N001 N005 N006 N010 N011 N002,58,enter link
150,N006 N010,N004 N005 N006 N010 N011 N002,7,exit link
150,N010 N011,N004 N005 N006 N010 N011 N002,7,enter link
150,N006 N010,N001 N012 N006 N010 N011 N002,9,exit link
150,N010 N011,N001 N012 N006 N010 N011 N002,9,enter link
150,N006 N010,N001 N005 N006 N010 N013 N003,59,exit link
150,N010 N013,N001 N005 N006 N010 N013 N003,59,enter link
150,N006 N010,N004 N005 N006 N010 N013 N003,7,exit link
150,N010 N013,N004 N005 N006 N010 N013 N003,7,enter link
150,N006 N010,N001 N012 N006 N010 N013 N003,9,exit link
150,N010 N013,N001 N012 N006 N010 N013 N003,9,enter link
150,N009 N010,N004 N009 N010 N011 N002,45,exit link
150,N010 N011,N004 N009 N010 N011 N002,45,enter link
150,N009 N010,N004 N009 N010 N013 N003,45,exit link
150,N010 N013,N004 N009 N010 N013 N003,45,enter link
151,N001 N005,N001 N005 N006 N010 N011 N002,1,exit link
151,N005 N006,N001 N005 N006 N010 N011 N002,1,enter link
151,N001 N005,N001 N005 N006 N010 N013 N003,1,exit link
151,N005 N006,N001 N005 N006 N010 N013 N003,1,enter link
151,N001 N005,N001 N005 N009 N010 N011 N002,41,exit link
151,N005 N009,N001 N005 N009 N010 N011 N002,41,enter link
151,N001 N005,N001 N005 N009 N010 N013 N003,38,exit link
151,N005 N009,N001 N005 N009 N010 N013 N003,38,enter link
151,N001 N005,N001 N005 N009 N013 N003,2,exit link
151,N005 N009,N001 N005 N009 N013 N003,2,enter link
151,N004 N005,N004 N005 N009 N010 N011 N002,34,exit link
151,N005 N009,N004 N005 N009 N010 N011 N002,34,enter link
151,N004 N005,N004 N005 N009 N010 N013 N003,34,exit link
151,N005 N009,N004 N005 N009 N010 N013 N003,34,enter link
151,N001 N012,N001 N012 N006 N010 N011 N002,46,exit link
151,N012 N006,N001 N012 N006 N010 N011 N002,46,enter link
151,N001 N012,N001 N012 N006 N010 N013 N003,66,exit link
151,N012 N006,N001 N012 N006 N010 N013 N003,66,enter link
151,N004 N009,N004 N009 N010 N011 N002,55,exit link
151,N009 N010,N004 N009 N010 N011 N002,55,enter link
151,N004 N009,N004 N009 N010 N013 N003,55,exit link
151,N009 N010,N004 N009 N010 N013 N003,55,enter link
151,N005 N009,N001 N005 N009 N010 N011 N002,20,exit link
151,N009 N010,N001 N005 N009 N010 N011 N002,20,enter link
151,N005 N009,N001 N005 N009 N010 N013 N003,20,exit link
151,N009 N010,N001 N005 N009 N010 N013 N003,20,enter link
151,N005 N006,N001 N005 N006 N010 N011 N002,36,exit link
151,N006 N010,N001 N005 N006 N010 N011 N002,36,enter link
151,N005 N006,N001 N005 N006 N010 N013 N003,36,exit link
151,N006 N010,N001 N005 N006 N010 N013 N003,36,enter link
151,N005 N006,N004 N005 N006 N010 N011 N002,1,exit link
151,N006 N010,N004 N005 N006 N010 N011 N002,1,enter link
151,N005 N006,N004 N005 N006 N010 N013 N003,1,exit link
151,N006 N010,N004 N005 N006 N010 N013 N003,1,enter link
151,N012 N006,N001 N012 N006 N010 N011 N002,37,exit link
151,N006 N010,N001 N012 N006 N010 N011 N002,37,enter link
151,N012 N006,N001 N012 N006 N010 N013 N003,37,exit link
151,N006 N010,N001 N012 N006 N010 N013 N003,37,enter link
151,N006 N010,N001 N005 N006 N010 N011 N002,54,exit link
151,N010 N011,N001 N005 N006 N010 N011 N002,54,enter link
151,N006 N010,N004 N005 N006 N010 N011 N002,7,exit link
151,N010 N011,N004 N005 N006 N010 N011 N002,7,enter link
151,N006 N010,N001 N012 N006 N010 N011 N002,10,exit link
151,N010 N011,N001 N012 N006 N010 N011 N002,10,enter link
151,N006 N010,N001 N005 N006 N010 N013 N003,55,exit link
151,N010 N013,N001 N005 N006 N010 N013 N003,55,enter link
151,N006 N010,N004 N005 N006 N010 N013 N003,7,exit link
151,N010 N013,N004 N005 N006 N010 N013 N003,7,enter link
151,N006 N010,N001 N012 N006 N010 N013 N003,10,exit link
151,N010 N013,N001 N012 N006 N010 N013 N003,10,enter link
151,N009 N010,N004 N009 N010 N011 N002,45,exit link
151,N010 N011,N004 N009 N010 N011 N002,45,enter link
151,N009 N010,N004 N009 N010 N013 N003,45,exit link
151,N010 N013,N004 N009 N010 N013 N003,45,enter link
152,N001 N005,N001 N005 N006 N010 N011 N002,0,exit link
152,N005 N006,N001 N005 N006 N010 N011 N002,0,enter link
152,N001 N005,N001 N005 N006 N010 N013 N003,0,exit link
152,N005 N006,N001 N005 N006 N010 N013 N003,0,enter link
152,N001 N005,N001 N005 N009 N010 N011 N002,49,exit link
152,N005 N009,N001 N005 N009 N010 N011 N002,49,enter link
152,N001 N005,N001 N005 N009 N010 N013 N003,45,exit link
152,N005 N009,N001 N005 N009 N010 N013 N003,45,enter link
152,N001 N005,N001 N005 N009 N013 N003,2,exit link
152,N005 N009,N001 N005 N009 N013 N003,2,enter link
152,N004 N005,N004 N005 N009 N010 N011 N002,27,exit link
152,N005 N009,N004 N005 N009 N010 N011 N002,27,enter link
152,N004 N005,N004 N005 N009 N010 N013 N003,27,exit link
152,N005 N009,N004 N005 N009 N010 N013 N003,27,enter link
152,N001 N012,N001 N012 N006 N010 N011 N002,47,exit link
152,N012 N006,N001 N012 N006 N010 N011 N002,47,enter link
152,N001 N012,N001 N012 N006 N010 N013 N003,66,exit link
152,N012 N006,N001 N012 N006 N010 N013 N003,66,enter link
152,N004 N009,N004 N009 N010 N011 N002,54,exit link
152,N009 N010,N004 N009 N010 N011 N002,54,enter link
152,N004 N009,N004 N009 N010 N013 N003,54,exit link
152,N009 N010,N004 N009 N010 N013 N003,54,enter link
152,N005 N009,N001 N005 N009 N010 N011 N002,22,exit link
152,N009 N010,N001 N005 N009 N010 N011 N002,22,enter link
152,N005 N009,N001 N005 N009 N010 N013 N003,22,exit link
152,N009 N010,N001 N005 N009 N010 N013 N003,22,enter link
152,N005 N006,N001 N005 N006 N010 N011 N002,36,exit link
152,N006 N010,N001 N005 N006 N010 N011 N002,36,enter link
152,N005 N006,N001 N005 N006 N010 N013 N003,36,exit link
152,N006 N010,N001 N005 N006 N010 N013 N003,36,enter link
152,N005 N006,N004 N005 N006 N010 N011 N002,1,exit link
152,N006 N010,N004 N005 N006 N010 N011 N002,1,enter link
152,N005 N006,N004 N005 N006 N010 N013 N003,1,exit link
152,N006 N010,N004 N005 N006 N010 N013 N003,1,enter link
152,N012 N006,N001 N012 N006 N010 N011 N002,37,exit link
152,N006 N010,N001 N012 N006 N010 N011 N002,37,enter link
152,N012 N006,N001 N012 N006 N010 N013 N003,37,exit link
152,N006 N010,N001 N012 N006 N010 N013 N003,37,enter link
152,N006 N010,N001 N005 N006 N010 N011 N002,54,exit link
152,N010 N011,N001 N005 N006 N010 N011 N002,54,enter link
152,N006 N010,N004 N005 N006 N010 N011 N002,8,exit link
152,N010 N011,N004 N005 N006 N010 N011 N002,8,enter link
152,N006 N010,N001 N012 N006 N010 N011 N002,12,exit link
152,N010 N011,N001 N012 N006 N010 N011 N002,12,enter link
152,N006 N010,N001 N005 N006 N010 N013 N003,54,exit link
152,N010 N013,N001 N005 N006 N010 N013 N003,54,enter link
152,N006 N010,N004 N005 N006 N010 N013 N003,8,exit link
152,N010 N013,N004 N005 N006 N010 N013 N003,8,enter link
152,N006 N010,N001 N012 N006 N010 N013 N003,12,exit link
152,N010 N013,N001 N012 N006 N010 N013 N003,12,enter link
152,N009 N010,N004 N009 N010 N011 N002,45,exit link
152,N010 N011,N004 N009 N010 N011 N002,45,enter link
152,N009 N010,N004 N009 N010 N013 N003,45,exit link
152,N010 N013,N004 N009 N010 N013 N003,45,enter link
153,N001 N005,N001 N005 N006 N010 N011 N002,0,exit link
153,N005 N006,N001 N005 N006 N010 N011 N002,0,enter link
153,N001 N005,N001 N005 N006 N010 N013 N003,0,exit link
153,N005 N006,N001 N005 N006 N010 N013 N003,0,enter link
153,N001 N005,N001 N005 N009 N010 N011 N002,63,exit link
153,N005 N009,N001 N005 N009 N010 N011 N002,63,enter link
153,N001 N005,N001 N005 N009 N010 N013 N003,58,exit link
153,N005 N009,N001 N005 N009 N010 N013 N003,58,enter link
153,N001 N005,N001 N005 N009 N013 N003,2,exit link
153,N005 N009,N001 N005 N009 N013 N003,2,enter link
153,N004 N005,N004 N005 N009 N010 N011 N002,13,exit link
153,N005 N009,N004 N005 N009 N010 N011 N002,13,enter link
153,N004 N005,N004 N005 N009 N010 N013 N003,13,exit link
153,N005 N009,N004 N005 N009 N010 N013 N003,13,enter link
153,N001 N012,N001 N012 N006 N010 N011 N002,48,exit link
153,N012 N006,N001 N012 N006 N010 N011 N002,48,enter link
153,N001 N012,N001 N012 N006 N010 N013 N003,68,exit link
153,N012 N006,N001 N012 N006 N010 N013 N003,68,enter link
153,N004 N009,N004 N009 N010 N011 N002,53,exit link
153,N009 N010,N004 N009 N010 N011 N002,53,enter link
153,N004 N009,N004 N009 N010 N013 N003,53,exit link
153,N009 N010,N004 N009 N010 N013 N003,53,enter link
153,N005 N009,N001 N005 N009 N010 N011 N002,21,exit link
153,N009 N010,N001 N005 N009 N010 N011 N002,21,enter link
153,N005 N009,N001 N005 N009 N010 N013 N003,22,exit link
153,N009 N010,N001 N005 N009 N010 N013 N003,22,enter link
153,N005 N009,N004 N005 N009 N010 N013 N003,0,exit link
153,N009 N010,N004 N005 N009 N010 N013 N003,0,enter link
153,N005 N009,N004 N005 N009 N010 N011 N002,0,exit link
153,N009 N010,N004 N005 N009 N010 N011 N002,0,enter link
153,N005 N006,N001 N005 N006 N010 N011 N002,36,exit link
153,N006 N010,N001 N005 N006 N010 N011 N002,36,enter link
153,N005 N006,N001 N005 N006 N010 N013 N003,36,exit link
153,N006 N010,N001 N005 N006 N010 N013 N003,36,enter link
153,N005 N006,N004 N005 N006 N010 N011 N002,1,exit link
153,N006 N010,N004 N005 N006 N010 N011 N002,1,enter link
153,N005 N006,N004 N005 N006 N010 N013 N003,1,exit link
153,N006 N010,N004 N005 N006 N010 N013 N003,1,enter link
153,N012 N006,N001 N012 N006 N010 N011 N002,37,exit link
153,N006 N010,N001 N012 N006 N010 N011 N002,37,enter link
153,N012 N006,N001 N012 N006 N010 N013 N003,37,exit link
153,N006 N010,N001 N012 N006 N010 N013 N003,37,enter link
153,N006 N010,N001 N005 N006 N010 N011 N002,53,exit link
153,N010 N011,N001 N005 N006 N010 N011 N002,53,enter link
153,N006 N010,N004 N005 N006 N010 N011 N002,8,exit link
153,N010 N011,N004 N005 N006 N010 N011 N002,8,enter link
153,N006 N010,N001 N012 N006 N010 N011 N002,14,exit link
153,N010 N011,N001 N012 N006 N010 N011 N002,14,enter link
153,N006 N010,N001 N005 N006 N010 N013 N003,53,exit link
153,N010 N013,N001 N005 N006 N010 N013 N003,53,enter link
153,N006 N010,N004 N005 N006 N010 N013 N003,8,exit link
153,N010 N013,N004 N005 N006 N010 N013 N003,8,enter link
153,N006 N010,N001 N012 N006 N010 N013 N003,14,exit link
153,N010 N013,N001 N012 N006 N010 N013 N003,14,enter link
153,N009 N010,N004 N009 N010 N011 N002,75,exit link
153,N010 N011,N004 N009 N010 N011 N002,75,enter link
153,N009 N010,N004 N009 N010 N013 N003,75,exit link
153,N010 N013,N004 N009 N010 N013 N003,75,enter link
154,N001 N005,N001 N005 N006 N010 N011 N002,0,exit link
154,N005 N006,N001 N005 N006 N010 N011 N002,0,enter link
154,N001 N005,N001 N005 N006 N010 N013 N003,0,exit link
154,N005 N006,N001 N005 N006 N010 N013 N003,0,enter link
154,N001 N005,N001 N005 N009 N010 N011 N002,73,exit link
154,N005 N009,N001 N005 N009 N010 N011 N002,73,enter link
154,N001 N005,N001 N005 N009 N010 N013 N003,66,exit link
154,N005 N009,N001 N005 N009 N010 N013 N003,66,enter link
154,N001 N005,N001 N005 N009 N013 N003,3,exit link
154,N005 N009,N001 N005 N009 N013 N003,3,enter link
154,N004 N005,N004 N005 N009 N010 N011 N002,2,exit link
154,N005 N009,N004 N005 N009 N010 N011 N002,2,enter link
154,N004 N005,N004 N005 N009 N010 N013 N003,3,exit link
154,N005 N009,N004 N005 N009 N010 N013 N003,3,enter link
154,N001 N012,N001 N012 N006 N010 N011 N002,59,exit link
154,N012 N006,N001 N012 N006 N010 N011 N002,59,enter link
154,N001 N012,N001 N012 N006 N010 N013 N003,81,exit link
154,N012 N006,N001 N012 N006 N010 N013 N003,81,enter link
154,N004 N009,N004 N009 N010 N011 N002,50,exit link
154,N009 N010,N004 N009 N010 N011 N002,50,enter link
154,N004 N009,N004 N009 N010 N013 N003,51,exit link
154,N009 N010,N004 N009 N010 N013 N003,51,enter link
154,N005 N009,N001 N005 N009 N010 N011 N002,23,exit link
154,N009 N010,N001 N005 N009 N010 N011 N002,23,enter link
154,N005 N009,N001 N005 N009 N010 N013 N003,24,exit link
154,N009 N010,N001 N005 N009 N010 N013 N003,24,enter link
154,N005 N009,N004 N005 N009 N010 N013 N003,1,exit link
154,N009 N010,N004 N005 N009 N010 N013 N003,1,enter link
154,N005 N009,N004 N005 N009 N010 N011 N002,1,exit link
154,N009 N010,N004 N005 N009 N010 N011 N002,1,enter link
154,N005 N006,N001 N005 N006 N010 N011 N002,36,exit link
154,N006 N010,N001 N005 N006 N010 N011 N002,36,enter link
154,N005 N006,N001 N005 N006 N010 N013 N003,36,exit link
154,N006 N010,N001 N005 N006 N010 N013 N003,36,enter link
154,N005 N006,N004 N005 N006 N010 N011 N002,1,exit link
154,N006 N010,N004 N005 N006 N010 N011 N002,1,enter link
154,N005 N006,N004 N005 N006 N010 N013 N003,1,exit link
154,N006 N010,N004 N005 N006 N010 N013 N003,1,enter link
154,N012 N006,N001 N012 N006 N010 N011 N002,38,exit link
154,N006 N010,N001 N012 N006 N010 N011 N002,38,enter link
154,N012 N006,N001 N012 N006 N010 N013 N003,37,exit link
154,N006 N010,N001 N012 N006 N010 N013 N003,37,enter link
154,N006 N010,N001 N005 N006 N010 N011 N002,52,exit link
154,N010 N011,N001 N005 N006 N010 N011 N002,52,enter link
154,N006 N010,N004 N005 N006 N010 N011 N002,7,exit link
154,N010 N011,N004 N005 N006 N010 N011 N002,7,enter link
154,N006 N010,N001 N012 N006 N010 N011 N002,15,exit link
154,N010 N011,N001 N012 N006 N010 N011 N002,15,enter link
154,N006 N010,N001 N005 N006 N010 N013 N003,52,exit link
154,N010 N013,N001 N005 N006 N010 N013 N003,52,enter link
154,N006 N010,N004 N005 N006 N010 N013 N003,7,exit link
154,N010 N013,N004 N005 N006 N010 N013 N003,7,enter link
154,N006 N010,N001 N012 N006 N010 N013 N003,15,exit link
154,N010 N013,N001 N012 N006 N010 N013 N003,15,enter link
154,N009 N010,N004 N009 N010 N011 N002,75,exit link
